scenario,run,seed,coupon_target_annual,bond_term_ticks,tick,num_pools,num_assets,transactions_per_tick,swap_volume_usd_tick,route_success_rate_tick,repayment_volume_usd,loan_issuance_volume_usd,debt_outstanding_usd,fee_pool_cumulative_usd,fee_clc_cumulative_usd,claims_unpaid_usd_tick,household_cash_stress_ratio,stable_liquidity_leakage_ratio_tick,expected_cash_return_coverage,expected_voucher_return_coverage,expected_verified_report_exposure,strong_pool_share,moderate_pool_share,weak_pool_share,bond_principal_usd,bond_raw_lp_returned_usd,bond_cumulative_fee_return_usd,bond_net_after_principal_usd,bond_simple_fee_yield,bond_annualized_fee_yield,bond_cagr_fee_yield,bond_coupon_due_usd,bond_coupon_coverage_ratio,bond_coupon_shortfall_usd,bond_principal_shortfall_at_term_usd,bond_payback_ratio,potential_largest_component_share,realized_largest_component_share,realized_edge_top_share,top_impact_activity,top_impact_expected_exposure
stress_weak_pool_repayment,1,3100102,0.06,52,52,125,127,287,352019.58613933873,0.9565217391304348,7933.299104258692,80.40318676410294,236300.2450946821,21613.967932201922,21613.967932201922,0.0,0.256,0.049537910924902326,0.1127282,0.5703002700164023,1004.5537113872123,0.256,0.152,0.592,400000.0,94469.11279896971,94469.11279896971,-305530.8872010303,0.23617278199742428,0.23617278199742428,0.2361727819974242,24000.0,3.9362130332904046,0.0,305530.8872010303,0.23617278199742428,0.992,0.992,0.017859586697687148,Regenerative Agriculture,213.89860622904177
stress_weak_pool_repayment,2,3100103,0.06,52,52,125,127,339,201264.81336658762,0.9880952380952381,10464.944514995876,0.0,349518.1883559524,25641.20652448695,25641.20652448695,0.0,0.264,0.03705480149935896,0.1127282,0.5703002700164023,915.4157210619601,0.24,0.144,0.616,400000.0,114515.80702658853,114515.80702658853,-285484.19297341147,0.2862895175664713,0.2862895175664713,0.28628951756647125,24000.0,4.771491959441189,0.0,285484.19297341147,0.2862895175664713,0.992,0.992,0.014200194904635945,Regenerative Agriculture,194.76393643027316
stress_weak_pool_repayment,1,3200102,0.12,52,52,125,127,359,167518.16032666888,0.962457337883959,11061.329543601969,101.80364873980335,165319.56057826206,21342.03474800449,21342.03474800449,0.0,0.224,0.05964212715505971,0.1127282,0.5703002700164023,926.6696679252562,0.2,0.24,0.56,400000.0,126435.32809460934,126435.32809460934,-273564.6719053907,0.31608832023652333,0.31608832023652333,0.3160883202365232,48000.0,2.6340693353043614,0.0,273564.6719053907,0.31608832023652333,0.992,0.992,0.015545261835597079,Regenerative Agriculture,195.8997202199806
stress_weak_pool_repayment,2,3200103,0.12,52,52,125,127,308,179539.39838866587,0.9578059071729957,16670.63303029276,0.0,141866.21008756885,23557.710943377067,23557.710943377067,0.0,0.224,0.06590526392143511,0.1127282,0.5703002700164023,942.7574193499336,0.248,0.168,0.584,400000.0,84300.07622919588,84300.07622919588,-315699.92377080413,0.21075019057298972,0.21075019057298972,0.21075019057298983,48000.0,1.7562515881082474,0.0,315699.92377080413,0.21075019057298972,0.992,0.992,0.017395250340341853,Regenerative Agriculture,200.45133677657276
stress_cash_stable_leakage,1,4000102,0.0,52,52,125,127,309,213201.84466684703,0.964,9632.348661497574,0.0,132308.8738416043,20095.279065053895,20095.279065053895,0.0,0.256,0.052302972306109,0.0829692708,0.5779451320190442,923.0182285087856,0.24,0.144,0.616,400000.0,70798.76987894304,70798.76987894304,-329201.23012105696,0.17699692469735762,0.17699692469735762,0.17699692469735773,0.0,1.0,0.0,329201.23012105696,0.17699692469735762,0.992,0.992,0.017980746280531465,Regenerative Agriculture,195.2120411125039
stress_cash_stable_leakage,2,4000103,0.0,52,52,125,127,333,220688.42884926777,0.9400749063670412,4669.420317424825,0.0,210234.1347690953,17958.891933562296,17958.891933562296,0.0,0.248,0.0592896432026033,0.08748849720000001,0.5880565743612383,944.327037861499,0.264,0.168,0.568,400000.0,85500.31245971924,85500.31245971924,-314499.68754028075,0.2137507811492981,0.2137507811492981,0.21375078114929802,0.0,1.0,0.0,314499.68754028075,0.2137507811492981,0.992,0.992,0.02400674950145728,Regenerative Agriculture,200.98150055810845
stress_cash_stable_leakage,1,4100102,0.06,52,52,125,127,368,174712.9328201004,0.9595588235294118,6159.610529397725,103.89122076094888,133168.30242990865,14619.956719503596,14619.956719503596,0.0,0.24,0.05342514882275728,0.07101464760000001,0.556358422443795,962.5362035017346,0.144,0.12,0.736,400000.0,89775.27196813805,89775.27196813805,-310224.72803186195,0.22443817992034515,0.22443817992034515,0.2244381799203452,24000.0,3.740636332005752,0.0,310224.72803186195,0.22443817992034515,0.992,0.992,0.022181417554168196,Regenerative Agriculture,205.6467848716805
stress_cash_stable_leakage,2,4100103,0.06,52,52,125,127,368,110758.17912042986,0.9533333333333334,7799.768504785505,6.925886884443015,236972.49025141663,18931.63952623533,18931.63952623533,0.0,0.264,0.052114731136934773,0.0890915532,0.5968041918125713,949.5459618649666,0.24,0.216,0.544,400000.0,85223.97870530542,85223.97870530542,-314776.02129469457,0.21305994676326354,0.21305994676326354,0.21305994676326345,24000.0,3.550999112721059,0.0,314776.02129469457,0.21305994676326354,0.992,0.992,0.014819933962988559,Regenerative Agriculture,201.44117126330545
stress_cash_stable_leakage,1,4200102,0.12,52,52,125,127,371,185892.7232138045,0.9766666666666667,7823.325429912591,64.51281246592977,174652.96255550557,21368.01743135109,21368.01743135109,0.0,0.224,0.05978906716844923,0.08398872040000001,0.589974435052809,972.4952393422633,0.184,0.224,0.592,400000.0,136697.27477931147,136697.27477931147,-263302.7252206885,0.34174318694827865,0.34174318694827865,0.34174318694827877,48000.0,2.8478598912356556,0.0,263302.7252206885,0.34174318694827865,0.992,0.992,0.016880227115783013,Regenerative Agriculture,206.21431115327698
stress_cash_stable_leakage,2,4200103,0.12,52,52,125,127,352,73761.48915869147,0.959731543624161,2433.5375183292517,49.73347845271494,67544.19460918484,10177.877140756824,10177.877140756824,0.0,0.264,0.059584388738918644,0.0887523572,0.586870339866976,971.8731865620003,0.296,0.144,0.56,400000.0,46008.4206378189,46008.4206378189,-353991.57936218113,0.11502105159454724,0.11502105159454724,0.11502105159454734,48000.0,0.9585087632878937,1991.5793621811026,353991.57936218113,0.11502105159454724,0.992,0.992,0.02133649429545118,Regenerative Agriculture,207.42360548932035
stress_high_coupon,1,5000102,0.12,52,52,125,127,377,115268.4109052528,0.9832775919732442,4715.089381562655,222.96365836103612,101311.4357259762,15799.04393286924,15799.04393286924,0.0,0.256,0.052186190852996875,0.12502724,0.5815926307001303,933.0162097452435,0.184,0.192,0.624,400000.0,51739.82211369665,51739.82211369665,-348260.17788630334,0.12934955528424164,0.12934955528424164,0.12934955528424164,48000.0,1.0779129607020137,0.0,348260.17788630334,0.12934955528424164,0.992,0.992,0.017645357246167198,Regenerative Agriculture,199.17165881951567
stress_high_coupon,2,5000103,0.12,52,52,125,127,330,192966.02608347053,0.9798387096774194,2917.232780351683,0.0,198488.24844246684,14366.665193522174,14366.665193522174,0.0,0.224,0.051550327934952164,0.127496344,0.5725679953484426,993.5452337976511,0.272,0.104,0.624,400000.0,84285.11510345075,84285.11510345075,-315714.8848965493,0.21071278775862687,0.21071278775862687,0.21071278775862679,48000.0,1.7559398979885572,0.0,315714.8848965493,0.21071278775862687,0.992,0.992,0.01963022141063684,Regenerative Agriculture,211.03305286443467
stress_high_coupon,1,5100102,0.12,52,52,125,127,313,192080.19385506012,0.9631147540983607,10323.63817008211,0.0,133807.59658992864,16398.0242768617,16398.0242768617,0.0,0.264,0.04776024802035988,0.13287775200000002,0.5884223874598925,919.8411504463784,0.24,0.184,0.576,400000.0,54530.918430095815,54530.918430095815,-345469.08156990417,0.13632729607523955,0.13632729607523955,0.13632729607523952,48000.0,1.136060800626996,0.0,345469.08156990417,0.13632729607523955,0.992,0.992,0.01770729078450997,Regenerative Agriculture,195.01471456322847
stress_high_coupon,2,5100103,0.12,52,52,125,127,312,141942.82370942226,0.9956709956709957,6893.153544717891,19.09918934913806,150897.02327701234,11545.281605389682,11545.281605389682,0.0,0.264,0.035758610440223104,0.13414876,0.5896974171524542,976.9912846881714,0.248,0.184,0.568,400000.0,56864.2977457697,56864.2977457697,-343135.7022542303,0.14216074436442425,0.14216074436442425,0.14216074436442416,48000.0,1.1846728697035354,0.0,343135.7022542303,0.14216074436442425,0.992,0.992,0.01916605705925384,Regenerative Agriculture,208.38174018890834
stress_high_coupon,1,5200102,0.12,52,52,125,127,307,155597.88396988448,0.941908713692946,7087.658709308397,3.1596945732497552,88143.78391402523,19184.99203544697,19184.99203544697,0.0,0.208,0.05741808792363115,0.13721548,0.5844090756801521,916.0943096258785,0.32,0.12,0.56,400000.0,58480.81325303435,58480.81325303435,-341519.1867469656,0.14620203313258587,0.14620203313258587,0.14620203313258595,48000.0,1.2183502761048823,0.0,341519.1867469656,0.14620203313258587,0.992,0.992,0.020947246823257604,Regenerative Agriculture,193.8319002108309
stress_high_coupon,2,5200103,0.12,52,52,125,127,337,133211.33660934825,0.9660377358490566,4729.343203884135,165.2883461147547,118833.54552885995,14713.833737101271,14713.833737101271,0.0,0.224,0.06537733359902749,0.131009128,0.5834110638879452,999.4739469645864,0.248,0.16,0.592,400000.0,73844.10505919045,73844.10505919045,-326155.8949408096,0.18461026264797611,0.18461026264797611,0.1846102626479762,48000.0,1.538418855399801,0.0,326155.8949408096,0.18461026264797611,0.992,0.992,0.01751057930833212,Regenerative Agriculture,213.0047570758123
stress_low_fee_conversion,1,6000102,0.0,52,52,125,127,387,108123.70353927807,0.9933333333333333,4165.382286055943,0.0,143043.51765974303,8240.393825137606,8240.393825137606,0.0,0.232,0.0642929630685233,0.12936496800000002,0.5775793189203899,988.790683129484,0.264,0.128,0.608,400000.0,74365.1538015051,74365.1538015051,-325634.8461984949,0.18591288450376275,0.18591288450376275,0.18591288450376275,0.0,1.0,0.0,325634.8461984949,0.18591288450376275,0.992,0.992,0.013758414083881943,Regenerative Agriculture,210.4862102377086
stress_low_fee_conversion,2,6000103,0.0,52,52,125,127,289,305400.7839870645,0.9710144927536232,6926.2017996640525,0.0,232641.83111078353,10237.198985696143,10237.198985696143,0.0,0.28,0.05717660548656724,0.11979452000000002,0.571115375259282,1024.790735869204,0.184,0.152,0.664,400000.0,52134.826917263534,52134.826917263534,-347865.17308273644,0.13033706729315883,0.13033706729315883,0.13033706729315875,0.0,1.0,0.0,347865.17308273644,0.13033706729315883,0.992,0.992,0.016433907112698928,Regenerative Agriculture,218.72430755713737
stress_low_fee_conversion,1,6100102,0.06,52,52,125,127,369,163920.772645233,0.9632107023411371,16598.995814169957,0.0,155784.7583853868,12811.367733571484,12811.367733571484,0.0,0.2,0.06685525304236777,0.13400007200000003,0.5843202804818526,929.2893147094056,0.28,0.144,0.576,400000.0,54476.74889911024,54476.74889911024,-345523.25110088976,0.1361918722477756,0.1361918722477756,0.13619187224777551,24000.0,2.2698645374629267,0.0,345523.25110088976,0.1361918722477756,0.992,0.992,0.027007029226785054,Regenerative Agriculture,198.27772773855142
stress_low_fee_conversion,2,6100103,0.06,52,52,125,127,374,152006.44506528956,0.9790940766550522,12592.39012352255,94.28457011837021,151674.3753835368,10379.361382314426,10379.361382314426,0.0,0.216,0.05580166150701025,0.130187048,0.5804951914041675,955.1441261278152,0.256,0.144,0.6,400000.0,56640.806369001744,56640.806369001744,-343359.19363099826,0.14160201592250435,0.14160201592250435,0.14160201592250443,24000.0,2.360033598708406,0.0,343359.19363099826,0.14160201592250435,0.992,0.992,0.018991534781008464,Regenerative Agriculture,202.5229915538665
stress_low_fee_conversion,1,6200102,0.12,52,52,125,127,337,125190.09102647178,0.9466666666666667,11146.975415862751,284.6782901707817,145337.51466309672,5741.031200300389,5741.031200300389,0.0,0.248,0.04638299527947986,0.134224536,0.5834998590862446,982.2524563530332,0.288,0.136,0.576,400000.0,46255.806005041464,46255.806005041464,-353744.19399495854,0.11563951501260367,0.11563951501260367,0.11563951501260372,48000.0,0.9636626251050305,1744.1939949585358,353744.19399495854,0.11563951501260367,0.992,0.992,0.01458509250019191,Regenerative Agriculture,208.88911568710623
stress_low_fee_conversion,2,6200103,0.12,52,52,125,127,320,217360.2480714449,0.9176029962546817,6587.845106434945,200.6927456441174,173273.99741064044,7985.347194281249,7985.347194281249,0.0,0.232,0.05576786231552893,0.131157816,0.5887882005585467,976.1202337264451,0.216,0.2,0.584,400000.0,62429.74525966508,62429.74525966508,-337570.25474033493,0.1560743631491627,0.1560743631491627,0.1560743631491628,48000.0,1.3006196929096892,0.0,337570.25474033493,0.1560743631491627,0.992,0.992,0.01834862385321101,Regenerative Agriculture,207.65376498600972
stress_governance_diversion,1,7000102,0.0,52,52,125,127,391,101587.8190608127,0.9730639730639731,3084.3464750446064,132.39402145635944,124620.02531876569,9947.984393243725,9947.984393243725,0.0,0.264,0.07278388679515661,0.131233592,0.5825906424923373,952.4516148376202,0.256,0.152,0.592,400000.0,106118.15466014545,53059.07733007272,-346940.9226699273,0.1326476933251818,0.1326476933251818,0.1326476933251819,0.0,1.0,0.0,346940.9226699273,0.1326476933251818,0.992,0.992,0.020995046943150734,Regenerative Agriculture,204.1924386939992
stress_governance_diversion,2,7000103,0.0,52,52,125,127,336,197611.60289668027,0.9660377358490566,9940.072000636814,1.0,149759.93432883357,17975.21572056669,17975.21572056669,0.0,0.232,0.059612250245724654,0.130411512,0.5796747700085596,999.314279851869,0.264,0.136,0.6,400000.0,100601.59742633576,50300.79871316788,-349699.2012868321,0.1257519967829197,0.1257519967829197,0.1257519967829197,0.0,1.0,0.0,349699.2012868321,0.1257519967829197,0.992,0.992,0.019071791153009426,Regenerative Agriculture,213.47695456050192
stress_governance_diversion,1,7100102,0.06,52,52,125,127,373,140772.3699835146,0.9522184300341296,4124.318579095052,211.14610055722184,144679.15271436443,15956.914099339629,15956.914099339629,0.0,0.232,0.0759741059866529,0.12278546400000001,0.5720245918531894,1004.4360360344705,0.216,0.136,0.648,400000.0,82183.01621233042,41091.50810616521,-358908.4918938348,0.10272877026541302,0.10272877026541302,0.10272877026541294,24000.0,1.712146171090217,0.0,358908.4918938348,0.10272877026541302,0.992,0.992,0.022723771375751038,Regenerative Agriculture,213.34549339801222
stress_governance_diversion,2,7100103,0.06,52,52,125,127,345,98842.41888726779,0.95,7333.51882976243,244.01741395497487,177254.08752345468,16087.316620794036,16087.316620794036,0.0,0.24,0.050510865797476254,0.13414876,0.5896974171524542,915.165357807491,0.248,0.184,0.568,400000.0,122251.70305076241,61125.85152538121,-338874.1484746188,0.152814628813453,0.152814628813453,0.1528146288134531,24000.0,2.546910480224217,0.0,338874.1484746188,0.152814628813453,0.992,0.992,0.02830728953612043,Regenerative Agriculture,193.72997226446716
stress_governance_diversion,1,7200102,0.12,52,52,125,127,381,78784.35659512677,0.9765886287625418,7607.607183608846,8.587666006632597,83549.68138380873,8101.022329375119,8101.022329375119,0.0,0.208,0.06161254858861562,0.13444899999999999,0.5826794376906367,1020.448792153409,0.296,0.128,0.576,400000.0,54759.09042563564,27379.54521281782,-372620.45478718216,0.06844886303204455,0.06844886303204455,0.06844886303204456,48000.0,0.5704071919337046,20620.45478718218,372620.45478718216,0.06844886303204455,0.992,0.992,0.019065420560747663,Regenerative Agriculture,217.52009287864658
stress_governance_diversion,2,7200103,0.12,52,52,125,127,268,233323.86107717056,0.943127962085308,8116.966707879359,78.6286870584183,182897.71384895223,15197.272099850717,15197.272099850717,0.0,0.248,0.057777005636876946,0.1325046,0.5838656721848989,993.6897268003489,0.264,0.152,0.584,400000.0,128013.88754735609,64006.943773678046,-335993.05622632196,0.16001735943419512,0.16001735943419512,0.16001735943419515,48000.0,1.3334779952849594,0.0,335993.05622632196,0.16001735943419512,0.992,0.992,0.016231629743364773,Regenerative Agriculture,211.5846248242665
stress_liquidity_concentration,1,8000102,0.0,52,52,122,124,278,158969.804714114,0.982078853046595,14588.63098185374,0.0,219192.45732940128,16413.80150091318,16413.80150091318,0.0,0.3360655737704918,0.061247428095937875,0.13272268852459018,0.5845729667752191,727.6344452098314,0.26229508196721313,0.1557377049180328,0.5819672131147541,400000.0,34332.75151338177,34332.75151338177,-365667.2484866182,0.08583187878345443,0.08583187878345443,0.08583187878345444,0.0,1.0,0.0,365667.2484866182,0.08583187878345443,0.9918032786885246,0.9918032786885246,0.01041116559788759,Regenerative Agriculture,153.58903076395518
