template_id,tier,score,swap_events,recent_swap_weeks_90d,active_weeks,swaps_per_active_week,total_users,backing_inflow,tagged_voucher_tokens,verified_report_exposure,approved_report_exposure,period_aligned_verified_exposure,same_token_return_rate,same_token_out_value,same_token_matched_later_in_value,borrow_proxy_matured_events,borrow_proxy_matured_return_rate,rosca_proxy_value_return_rate,debt_removal_purchase_events
pool_template_171,weak,-6.54,0,0,1,0.00,1,1.000000,0,0,5,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_172,weak,-6.54,0,0,1,0.00,1,1.000000,0,13,64,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_173,weak,-6.87,2,0,1,2.00,2,10000.000000,1,0,0,0,0.500000,2.000000,1.000000,1,0.000000,0.000000,1
pool_template_174,weak,-7.35,4,0,2,2.00,3,5.000000,1,0,1,0,0.943396,2.120000,2.000000,0,0.000000,1.000000,1
pool_template_175,weak,-7.50,3,0,1,3.00,1,130.870000,1,1,9,0,0.992358,130.870128,129.870000,2,0.000000,0.000000,1
pool_template_176,weak,-7.87,1,0,1,1.00,1,2.000000,1,0,1,0,0.000000,1.600000,0.000000,1,0.000000,0.000000,0
pool_template_177,weak,-8.00,1,0,2,0.50,2,524.110000,1,0,0,0,0.000000,500.000000,0.000000,0,0.000000,0.000000,1
pool_template_178,weak,-8.75,1,0,2,0.50,2,500.000000,1,0,0,0,0.000000,2.000000,0.000000,0,0.000000,0.000000,1
pool_template_179,weak,-9.18,1,0,1,1.00,2,20.000000,1,0,0,0,0.000000,0.040000,0.000000,0,0.000000,0.000000,1
pool_template_180,weak,-9.71,3,0,2,1.50,2,100.000000,1,15,15,0,0.000000,3349.979230,0.000000,1,1.000000,1.000000,0
pool_template_181,weak,-9.74,1,0,2,0.50,2,500.000000,1,0,0,0,0.000000,1.000000,0.000000,0,0.000000,0.000000,1
pool_template_182,weak,-10.84,1,0,1,1.00,1,2.000000,1,0,1,0,0.000000,2.000000,0.000000,1,0.000000,0.000000,0
pool_template_183,weak,-11.19,10,0,6,1.67,2,200.000000,0,0,1,0,0.240104,13.172627,3.162800,5,1.000000,1.000000,5
pool_template_184,weak,-13.62,3,0,6,0.50,4,50105.000000,0,0,1,0,0.662252,302.000000,200.000000,1,0.000000,0.000000,2
pool_template_185,weak,-15.67,4,0,4,1.00,4,700.000000,0,0,0,0,0.929653,212.873163,197.898088,2,0.500000,0.875326,2
pool_template_186,weak,-16.17,4,0,1,4.00,2,500.000000,0,0,0,0,0.750000,20.000000,15.000000,2,0.500000,0.750000,2
pool_template_187,weak,-17.12,0,0,1,0.00,1,90.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_188,weak,-17.65,4,0,2,2.00,3,4.000000,0,4,47,0,0.000000,4.000000,0.000000,4,1.000000,1.000000,0
pool_template_189,weak,-18.01,2,0,1,2.00,2,1000.000000,0,0,0,0,0.500000,2.000000,1.000000,1,0.000000,0.000000,1
pool_template_190,weak,-18.37,2,0,2,1.00,2,100.000000,0,0,0,0,0.500000,2.000000,1.000000,1,0.000000,0.000000,1
pool_template_191,weak,-18.50,2,0,2,1.00,1,1000.000000,0,0,0,0,0.500000,2.000000,1.000000,1,0.000000,0.500000,1
pool_template_192,weak,-18.50,2,0,1,2.00,2,100.000000,0,0,0,0,0.927536,69.000000,64.000000,1,0.000000,0.000000,1
pool_template_193,weak,-18.56,2,0,1,2.00,2,0.000000,0,0,0,0,0.000000,100.000000,0.000000,0,0.000000,0.000000,0
pool_template_194,weak,-18.56,2,0,1,2.00,2,0.000000,0,0,0,0,0.000000,20.000000,0.000000,0,0.000000,0.000000,0
pool_template_195,weak,-18.62,2,0,2,1.00,2,0.000000,0,0,0,0,0.000000,0.970000,0.000000,0,0.000000,0.000000,0
pool_template_196,weak,-18.76,1,0,1,1.00,2,700.000000,0,0,0,0,0.000000,100.000000,0.000000,0,0.000000,0.000000,0
pool_template_197,weak,-18.77,2,0,2,1.00,1,27.000000,0,0,0,0,0.000000,28.000000,0.000000,1,0.000000,0.000000,0
pool_template_198,weak,-19.01,2,0,1,2.00,1,2.000000,0,0,0,0,0.000000,4.000000,0.000000,0,0.000000,0.000000,0
pool_template_199,weak,-19.47,2,0,1,2.00,1,112.000000,0,0,1,0,0.090909,11.000000,1.000000,0,0.000000,0.000000,0
pool_template_200,weak,-19.69,2,0,1,2.00,1,100.000000,0,0,2,0,0.090909,11.000000,1.000000,0,0.000000,0.000000,0
pool_template_201,weak,-19.80,2,0,1,2.00,1,0.000000,0,0,0,0,0.000000,1.000000,0.000000,0,0.000000,0.000000,0
pool_template_202,weak,-20.49,2,0,1,2.00,1,2.000000,0,0,1,0,0.000000,1.999922,0.000000,0,0.000000,0.000000,0
pool_template_203,weak,-20.79,1,0,1,1.00,1,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
