scenario,network_scale,coupon_target_annual,principal_ratio,runs,safe,strong_success,binding_constraint,scheduled_payment_coverage_p05,issuer_unpaid_scheduled_claim_p95,voucher_to_voucher_volume_ratio_vs_baseline,voucher_to_voucher_share_p50,v2s_to_v2v_volume_ratio_p50,s2v_to_v2v_volume_ratio_p50,active_routable_producer_voucher_float_ratio_vs_baseline,producer_borrowing_capacity_used_share_p95,producer_borrowing_capacity_remaining_usd_p50,cap_bound_producer_count_p50,cap_bound_own_voucher_route_suppressed_count_total_p50,own_voucher_v2v_blocked_by_debt_limit_count_total_p50,own_voucher_v2s_blocked_by_debt_limit_count_total_p50,stable_receipts_waiting_for_repayment_usd_p50,producer_debt_arrears_usd_p50,productive_credit_debt_return_scheduled_usd_total_p50,productive_credit_debt_return_received_usd_total_p50,mechanism_capacity_pressure_present,mechanism_v2v_decline_present,mechanism_repayment_waiting_present
bond_issuer_frontier,current,0.04,0.25,100,1,1,,1.0,0.0,0.9993322129007318,0.3258663701278352,0.2828852603034813,0.049932862629575525,0.9996881712685569,0.030429050394305525,127852654.57226253,0.0,0.0,0.0,0.0,2817.945808289254,44.267651478981826,90381.70835631352,86338.79902498363,0,0,1
bond_issuer_frontier,current,0.04,0.5,100,1,1,,1.0,0.0,1.0017650849256035,0.3237750860559535,0.28319889994429204,0.050952560422608914,1.001812915764989,0.030523396920711585,127841434.0893567,0.0,0.0,0.0,0.0,2812.0589524517095,47.63289642849525,90223.63548033388,86244.03599285783,0,0,1
bond_issuer_frontier,current,0.04,0.75,100,1,1,,1.0,0.0,1.0038113829819517,0.3234878658670163,0.2845330139716554,0.05028564574226821,0.999412511856555,0.030518928164973206,127958289.91680413,0.0,0.0,0.0,0.0,2820.7778149952487,44.25974949927271,90506.03707454875,86646.00962525501,0,0,1
bond_issuer_frontier,current,0.04,1.0,100,1,1,,1.0,0.0,1.0043010942554256,0.316447691780623,0.2821334934626074,0.0504864370160281,0.9999936914258318,0.031015192050541613,127955539.5153116,0.0,0.0,0.0,0.0,2812.1670822235747,48.84705835785017,90487.80511382066,86557.28733700702,0,0,1
bond_issuer_frontier,current,0.04,1.5,100,1,1,,1.0,0.0,0.9975266050132743,0.30971835960620075,0.29012731173194733,0.05169397825274572,1.0007525176123566,0.030645354785117648,127939575.4348171,0.0,0.0,0.0,0.0,2872.6632811526038,39.93308125920669,90034.48362177984,85979.05987815271,0,0,1
bond_issuer_frontier,current,0.04,2.0,100,1,0,,1.0,0.0,0.9949671627415718,0.30311513542417096,0.2890861326730345,0.05101558146773802,1.0020671748333654,0.03050384286904232,127810621.88886645,0.0,0.0,0.0,0.0,2858.3066619271076,37.5713430294843,89839.10736533138,85759.73390469127,0,0,1
bond_issuer_frontier,current,0.08,0.05,100,1,1,,1.0,0.0,1.001606615101369,0.331075315729397,0.2811372741441818,0.04937935333034728,0.9980927080719342,0.030399556921094514,127929208.23592192,0.0,0.0,0.0,0.0,2835.037820436384,46.96770190802667,90436.21253887165,86475.62070404022,0,0,1
bond_issuer_frontier,current,0.08,0.1,100,1,1,,1.0,0.0,1.0015284293237474,0.33064078939578445,0.28561373389522515,0.05091868553077352,0.9992624877305474,0.030657435437125805,127864075.77682003,0.0,0.0,0.0,0.0,2826.905134493513,53.07985139103609,90075.26906572099,86139.3848405887,0,0,1
bond_issuer_frontier,current,0.08,0.25,100,1,1,,1.0,0.0,1.0012443958635258,0.3276492825117932,0.2809561719478068,0.050270805058313855,1.0007622115901251,0.030470450689830543,127910309.42656672,0.0,0.0,0.0,0.0,2836.447322834427,48.84536728608768,90583.62765991913,86652.52053360821,0,0,1
bond_issuer_frontier,current,0.08,0.5,100,1,1,,1.0,0.0,1.0006694844868886,0.32603003801520225,0.28341068455287244,0.05068300241680826,1.002039836537363,0.03060197328949451,127731150.16882718,0.0,0.0,0.0,0.0,2816.376460825706,49.079091461850524,90488.40661411485,86331.23421371217,0,0,1
bond_issuer_frontier,current,0.08,0.75,100,1,1,,1.0,0.0,1.0037286398522571,0.3202595501843074,0.28500316772466044,0.05061608974184222,0.9984916318532704,0.03052880197230591,127874135.21572982,0.0,0.0,0.0,0.0,2868.908833477075,43.19977720165339,90619.48868059959,86431.59067793758,0,0,1
bond_issuer_frontier,current,0.08,1.0,100,1,1,,1.0,0.0,0.9990583111807906,0.31676024219845794,0.28400435997229495,0.050549805177562045,1.00049115461673,0.030433454933301594,127955386.60313852,0.0,0.0,0.0,0.0,2879.612208821311,45.313774379914186,90347.23745964735,86299.731995943,0,0,1
bond_issuer_frontier,current,0.08,1.5,100,1,1,,1.0,0.0,0.9999464539276107,0.30697261086498573,0.2854980827400598,0.051387403686108994,0.9991773663220442,0.030512454912586195,127895223.36297327,0.0,0.0,0.0,0.0,2879.9625517281183,41.83307515680527,90174.9384722765,86130.20414615136,0,0,1
bond_issuer_frontier,current,0.08,2.0,100,1,0,,1.0,0.0,0.999989087136218,0.2992285620408375,0.2884131681289788,0.05124749379276042,1.0020938180118464,0.03056445936097544,127949661.63944714,0.0,0.0,0.0,0.0,2869.275265919494,35.05877653874241,90026.47287840425,85850.30898252444,0,0,1
bond_issuer_frontier,current,0.12,0.05,100,1,1,,1.0,0.0,0.9965142640371769,0.33022142981277225,0.28063637869207575,0.04854272635398841,1.0004092095105306,0.030540269694342963,127922366.71023004,0.0,0.0,0.0,0.0,2795.968968406957,46.24077941567049,90103.42782071131,86268.90963791753,0,0,1
