scenario,network_scale,coupon_target_annual,bond_fee_service_share,principal_ratio,producer_stable_debt_contract_service_margin_rate,producer_voucher_debt_contract_service_margin_rate,principal_usd_p50,service_coverage_p05,service_coverage_p50,scheduled_payment_coverage_p05,scheduled_payment_coverage_p50,service_cash_headroom_p05,service_cash_headroom_p50,gross_historical_service_cash_headroom_p05,gross_historical_service_cash_headroom_p50,available_service_cash_headroom_p05,available_service_cash_headroom_p50,issuer_lockbox_surplus_usd_p50,issuer_excess_recovered_stable_usd_p50,issuer_operating_surplus_usd_p50,issuer_operating_surplus_headroom_ratio_p50,issuer_fee_waterfall_ops_usd_p50,issuer_sustainability_resources_usd_p50,issuer_sustainability_headroom_ratio_p50,bond_service_lockbox_target_usd_p50,bond_service_lockbox_coverage_ratio_p50,bond_service_lockbox_mode,fee_service_reserved_usd_total_p50,fee_service_stable_reserved_usd_total_p50,fee_service_converted_voucher_reserved_usd_total_p50,issuer_scheduled_debt_service_due_p50,issuer_actual_bondholder_payment_p50,issuer_reserve_balance_p05,issuer_reserve_draw_p95,issuer_unpaid_scheduled_claim_p95,safe,binding_constraint
bond_issuer_frontier,current,0.15,1.0,0.25,0.0,0.0,4558.987333374999,1.0,1.0,1.0,1.0,7.9715164695275105,8.980301918494487,7.9715164695275105,8.980301918494487,4.087623863109028,4.2144033507787295,1609.8924020980467,19089.481724690668,20699.374126788713,3.214403350778729,0.0,20699.374126788713,3.214403350778729,8049.462010490233,1.25,remaining_schedule,2703.26253954721,789.6145990096657,1921.3702074276493,6439.569608392187,6439.569608392187,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.15,1.0,0.5,0.0,0.0,9117.974666749999,1.0,1.0,1.0,1.0,4.2985747333964985,4.911006223808734,4.2985747333964985,4.911006223808734,2.3779347509556388,2.4148379177767363,3219.7848041960933,15002.109708035816,18221.89451223191,1.4148379177767363,0.0,18221.89451223191,1.4148379177767363,16098.924020980467,1.25,remaining_schedule,6593.193293716678,1832.7951220837585,4777.9266464682205,12879.139216784373,12879.139216784373,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.15,1.0,0.75,0.0,0.0,13676.962000124997,1.0,1.0,1.0,1.0,3.0143971829586116,3.4239185993556465,3.0143971829586116,3.4239185993556465,1.79686182079904,1.8261205525960333,4829.677206294138,11129.90520380259,15959.582410096726,0.8261205525960333,0.0,15959.582410096726,0.8261205525960333,24148.386031470698,1.25,remaining_schedule,10621.511507635714,2939.0029903643003,7686.718432946744,19318.70882517656,19318.70882517656,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.15,1.0,1.0,0.0,0.0,18235.949333499997,1.0,1.0,1.0,1.0,2.4498089544026245,2.7792647245889657,2.4498089544026245,2.7792647245889657,1.5119715660565471,1.531243170344617,6439.569608392187,7244.3398892762525,13683.90949766844,0.5312431703446171,0.0,13683.90949766844,0.5312431703446171,32197.848041960933,1.25,remaining_schedule,14642.501028130779,3993.586095871724,10668.377581668849,25758.278433568747,25758.278433568747,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.15,1.0,1.5,0.0,0.0,27353.924000249994,1.0,1.0,1.0,1.0,1.8227788542486865,2.040860365943809,1.8227788542486865,2.040860365943809,1.2188098264016287,1.2457130284513598,9493.716902408294,0.0,9493.716902408294,0.24571302845135998,0.0,9493.716902408294,0.24571302845135998,48296.772062941396,1.25,remaining_schedule,22915.765874180703,6214.854013713362,16732.61601680739,38637.41765035312,38637.41765035312,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.15,1.0,2.0,0.0,0.0,36471.898666999994,0.9165089841421955,0.9395851701660435,0.9165089841421955,0.9395851701660435,1.3839386420440107,1.5310710967031507,1.3839386420440107,1.5310710967031507,0.9165089841421955,0.9395851701660435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64395.69608392187,1.25,remaining_schedule,23110.949324509347,6288.259507780955,16800.89765260913,51516.55686713749,48404.19285037804,0.0,0.0,4301.169666333663,0,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims
bond_issuer_frontier,current,0.25,1.0,0.05,0.0,0.0,911.7974666749999,1.0,1.0,1.0,1.0,31.102595712935567,35.33536218447492,31.102595712935567,35.33536218447492,15.594937318631354,16.029178791792994,384.6645562535157,22740.105006945676,23124.769563199196,15.029178791792992,0.0,23124.769563199196,15.029178791792992,1923.3227812675777,1.25,remaining_schedule,240.81630438283543,104.72579515762186,134.50072623441113,1538.6582250140623,1538.6582250140623,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.25,1.0,0.1,0.0,0.0,1823.5949333499998,1.0,1.0,1.0,1.0,15.851336444452437,18.708734710778238,15.851336444452437,18.708734710778238,7.957620603025905,8.217804370432237,769.3291125070314,21442.13900970899,22211.46812221602,7.217804370432239,0.0,22211.46812221602,7.217804370432239,3846.6455625351555,1.25,remaining_schedule,934.8983757244404,306.51120469953696,621.1220577280858,3077.3164500281246,3077.3164500281246,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.25,1.0,0.25,0.0,0.0,4558.987333374999,1.0,1.0,1.0,1.0,6.7500886105544335,7.621679016637413,6.7500886105544335,7.621679016637413,3.529132852713301,3.6249550620013915,1923.3227812675777,18271.220700936115,20194.543482203695,2.6249550620013915,0.0,20194.543482203695,2.6249550620013915,9616.613906337889,1.25,remaining_schedule,3418.3850852750215,975.3980463884716,2459.1091353300044,7693.291125070311,7693.291125070311,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.25,1.0,0.5,0.0,0.0,9117.974666749999,1.0,1.0,1.0,1.0,3.5991244287603745,4.201738902715693,3.5991244287603745,4.201738902715693,2.0996182986931204,2.128833236630849,3846.6455625351555,13522.239879577854,17368.88544211301,1.1288332366308491,0.0,17368.88544211301,1.1288332366308491,19233.227812675777,1.25,remaining_schedule,8161.025666319574,2247.610871183357,5911.618665259948,15386.582250140622,15386.582250140622,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.25,1.0,0.75,0.0,0.0,13676.962000124997,1.0,1.0,1.0,1.0,2.6638153228710078,3.0134071584048936,2.6638153228710078,3.0134071584048936,1.6109027614912694,1.6345185370284463,5769.968343802735,8874.639145037894,14644.60748884063,0.6345185370284463,0.0,14644.60748884063,0.6345185370284463,28849.841719013668,1.25,remaining_schedule,12992.90402319342,3578.8955577266097,9383.706837868394,23079.873375210933,23079.873375210933,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.25,1.0,1.0,0.0,0.0,18235.949333499997,1.0,1.0,1.0,1.0,2.1544545313061683,2.4149012729719317,2.1544545313061683,2.4149012729719317,1.375224113858664,1.3905058805599548,7693.291125070311,4323.810575728352,12017.101700798663,0.3905058805599546,0.0,12017.101700798663,0.3905058805599546,38466.455625351555,1.25,remaining_schedule,17894.0987577297,4910.117259128238,12988.575184850331,30773.164500281244,30773.164500281244,0.0,0.0,0.0,1,
bond_issuer_frontier,current,0.25,1.0,1.5,0.0,0.0,27353.924000249994,1.0,1.0,1.0,1.0,1.562815406326813,1.7173032411514413,1.562815406326813,1.7173032411514413,1.0204213913088147,1.0461282502695233,2129.2683504812812,0.0,2129.2683504812812,0.04612825026952344,0.0,2129.2683504812812,0.04612825026952344,57699.683438027336,1.25,remaining_schedule,23111.257546369954,6361.279959925372,16730.18347492951,46159.746750421866,46159.746750421866,0.0,0.0,0.0,1,
